Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2015;p59p100;57262.4064717;75180.7475851;3.33443570137;3.52299070358;21340.0351562;0.8258333761;0.8305366471;17173.0429688
;BR;2015;p60p100;58260.0843429;76520.7122772;3.32058525085;3.50507855415;21831.3828125;0.8197285838;0.8247214665;17545.125
;BR;2015;p61p100;59298.696968;77916.1742514;3.29944658279;3.48273730278;22372.1074219;0.8134834767;0.818767378;17972.3164062
;BR;2015;p62p100;60380.1178539;79370.2887562;3.27400112152;3.45798754692;22952.7402344;0.8070799005;0.8126618277;18442.3027344
;BR;2015;p63p100;61506.9706055;80886.9668479;3.24878001213;3.43381285667;23556.0214844;0.8005068271;0.8063963957;18932.328125
;BR;2015;p64p100;62682.786098;82471.0249998;3.22757434845;3.41276550293;24165.453125;0.7937610261;0.7999672297;19421.0195312
;BR;2015;p65p100;63912.0726374;84128.278559;3.21329808235;3.39687895775;24766.3457031;0.7868463324;0.793374706;19889.8671875
;BR;2015;p66p100;65200.3471064;85865.6155014;3.20784807205;3.38757061958;25347.2539062;0.7797723;0.78662276;20325.2597656
;BR;2015;p67p100;66554.099413;87691.0322309;3.21187543869;3.38549852371;25901.9550781;0.7725520153;0.7797177588;20721.2578125
;BR;2015;p68p100;67980.6487153;89613.6035504;3.22437143326;3.3903260231;26432.1484375;0.7651987672;0.7726667496;21083.3808594
;BR;2015;p69p100;69487.8291884;91643.3445074;3.24198579788;3.40034985542;26951.1523438;0.7577211628;0.7654748525;21433.7246094
;BR;2015;p70p100;71083.4121272;93790.9001586;3.25801753998;3.41194963455;27488.9453125;0.7501161225;0.7581414864;21817.9960938
;BR;2015;p71p100;72774.2981927;96067.076192;3.26422262192;3.42045164108;28086.0800781;0.7423607513;0.750655852;22294.5273438
;BR;2015;p72p100;74567.1937371;98483.2985719;3.2609577179;3.4254295826;28750.6425781;0.7344205311;0.7430001839;22866.6542969
;BR;2015;p73p100;76470.164168;101052.680575;3.25135827065;3.4278588295;29479.8261719;0.7262644151;0.7351566771;23519.4511719
;BR;2015;p74p100;78493.1171177;103790.473872;3.23861169815;3.42880606651;30270.1503906;0.7178668568;0.727108374;24236.65625
;BR;2015;p75p100;80648.2112351;106714.52222;3.22574782372;3.42940330505;31117.5195312;0.7092081646;0.7188393397;25001.4003906
;BR;2015;p76p100;82950.3258286;109845.824219;3.21543931961;3.43081784248;32017.3867188;0.7002745075;0.7103348091;25797.5097656
;BR;2015;p77p100;85417.5788072;113209.232312;3.20977854729;3.43421626091;32965.0859375;0.6910573204;0.7015812681;26611.6738281
;BR;2015;p78p100;88071.8582968;116834.321173;3.2099673748;3.44070959091;33956.4609375;0.6815517222;0.6925664099;27436.9941406
;BR;2015;p79p100;90939.2913629;120756.464675;3.21583294868;3.45127630234;34988.9296875;0.6717533473;0.6832788663;28278.6113281
;BR;2015;p80p100;94050.4947289;125018.165151;3.22503066063;3.46663045883;36063.3085938;0.661652654;0.6737075586;29162.6660156
;BR;2015;p81p100;97440.4906352;129670.633832;3.23336338997;3.48669338226;37190.1445312;0.6512264656;0.6638401846;30135.953125
;BR;2015;p82p100;101150.050853;134775.252327;3.23985433578;3.50952196121;38402.7382812;0.6404387325;0.6536585742;31220.5546875
;BR;2015;p83p100;105228.598381;140405.431252;3.24465036392;3.53234887123;39748.4609375;0.6292477711;0.6431335011;32431.4140625
;BR;2015;p84p100;109736.856985;146649.582201;3.24784398079;3.55190229416;41287.6171875;0.6176059605;0.6322212896;33787.6015625
;BR;2015;p85p100;114750.283639;153615.169131;3.24940562248;3.564483881;43096.046875;0.6054579771;0.6208599792;35314.2382812
;BR;2015;p86p100;120363.795284;161434.32118;3.24906778336;3.56624770164;45267.2773438;0.5927381602;0.6089648299;37045.640625
;BR;2015;p87p100;126698.364154;170271.921337;3.24613666534;3.5537712574;47913.0234375;0.579366445;0.5964234252;39030.5078125
;BR;2015;p88p100;133910.335668;180337.870194;3.23917293549;3.52505993843;51158.8085938;0.5652418687;0.5830911985;41340.9023438
;BR;2015;p89p100;142204.728806;191906.897876;3.22545814514;3.48113250732;55127.71875;0.5502318204;0.5687895045;44088.2265625
;BR;2015;p91p100;163227.697909;221213.343797;3.15682077408;3.37897205353;65467.6445312;0.5167438824;0.5364412101;51706.3554688
;BR;2015;p92p100;176842.377626;240283.853207;3.09502720833;3.33647346497;72017.3125;0.497640034;0.5179440857;57137.5859375
;BR;2015;p93p100;193465.583411;263778.704851;3.01728224754;3.30232691765;79876.6171875;0.4763659774;0.4975148809;64119.1523438
;BR;2015;p94p100;214301.378651;293651.818587;2.92815303802;3.27856302261;89567.234375;0.4522881342;0.4747360903;73186.5390625
;BR;2015;p95p100;241385.750744;333283.870583;2.83514690399;3.26836562157;101972.640625;0.4245419524;0.4490064754;85140.4765625
;BR;2015;p96p100;278537.675309;389131.740279;2.75088620186;3.2768805027;118750.664062;0.3919069062;0.4193966443;101253.796875
;BR;2015;p97p100;334101.636742;475436.503701;2.69886016846;3.31256103516;143525.359375;0.3525647078;0.384310351;123793.609375
;BR;2015;p98p100;431383.160562;631827.86137;2.72854924202;3.38751959801;186516.375;0.3034814584;0.3404842852;158099.828125
;BR;2015;p0p90;14715.035218;18420.1908498;;;0.0;0.4658464541;0.4466886717;0.0
;BR;2015;p0p99;21907.1584088;27051.1606597;;;0.0;0.7628870134;0.7215881656;0.0
;BR;2015;p99.1p100;721956.334036;1113874.37142;2.86137008667;3.48328948021;319776.5625;0.2285558908;0.2701139567;252311.40625
;BR;2015;p99.1p99.2;262901.271484;333195.466808;;;319776.5625;0.009247656;0.0089777475;252311.40625
;BR;2015;p99.2p100;779338.217111;1211459.23359;2.84059858322;3.48571920395;347549.28125;0.2193082349;0.261136209;274357.03125
;BR;2015;p99.2p99.3;287761.228869;364117.289775;;;347549.28125;0.0101221148;0.0098109171;274357.03125
;BR;2015;p99.3p100;849563.500692;1332508.08409;2.81069970131;3.48824214935;381999.875;0.20918612;0.2513252922;302260.5
;BR;2015;p99.3p99.4;319235.157128;403072.173119;;;381999.875;0.0112292226;0.0108605325;302260.5
;BR;2015;p99.4p100;937951.559876;1487414.06894;2.7782356739;3.49087548256;426086.25;0.1979568977;0.2404647596;337606.90625
;BR;2015;p99.4p99.5;359149.884237;453966.437726;;;426086.25;0.0126332389;0.0122318473;337606.90625
;BR;2015;p99.5p100;1053711.89735;1694103.59808;2.75487923622;3.49364328384;484910.28125;0.1853236592;0.2282329127;382489.3125
;BR;2015;p99.5p99.6;409922.744335;523888.216305;;;484910.28125;0.0144191943;0.0141158467;382489.3125
;BR;2015;p99.6p100;1214659.18411;1986657.43942;2.76255846024;3.49658179283;568171.3125;0.1709044647;0.2141170656;439686.3125
;BR;2015;p99.6p99.7;474824.992775;627355.65296;;;568171.3125;0.0167021565;0.0169037133;439686.3125
;BR;2015;p99.7p100;1461270.58397;2439758.02426;2.84791040421;3.49974703789;697124.125;0.1542023085;0.1972133514;513102.71875
;BR;2015;p99.7p99.8;559499.917699;800305.206187;;;697124.125;0.0196806304;0.021563733;513102.71875
;BR;2015;p99.8p100;1912155.9121;3259484.42209;3.12473368645;3.50324392319;930418.9375;0.1345216777;0.1756496178;611942.0625
;BR;2015;p99.8p99.9;702213.208173;1169582.09552;;;930418.9375;0.0247006267;0.0315136723;611942.0625
;BR;2015;p99.91p100;3368917.18309;5767878.05003;3.57603144646;3.50778079033;1644309.75;0.1066526923;0.1398707432;942082.625
;BR;2015;p99.91p99.92;993313.286989;1713991.22491;;;1644309.75;0.0034940187;0.0046182442;942082.625
;BR;2015;p99.92p100;3665867.66738;6274613.91255;3.49080252647;3.50825738907;1788527.25;0.1031586736;0.1352524992;1050150.375
;BR;2015;p99.92p99.93;1119776.73637;1874561.00901;;;1788527.25;0.0039388589;0.0050508897;1050150.375
;BR;2015;p99.93p100;4029594.94961;6903192.89805;3.36731863022;3.5087518692;1967421.25;0.0992198149;0.1302016095;1196677.625
;BR;2015;p99.93p99.94;1290191.89609;2076844.93575;;;1967421.25;0.0045383009;0.0055959313;1196677.625
;BR;2015;p99.94p100;4486162.12898;7707584.23594;3.22014808655;3.50926685333;2196351.75;0.094681514;0.1246056784;1393154.0
;BR;2015;p99.94p99.95;1517623.48005;2341127.08143;;;2196351.75;0.0053383005;0.0063080234;1393154.0
;BR;2015;p99.95p100;5079869.8703;8780875.67162;3.07079648972;3.50980734825;2501811.25;0.0893432137;0.1182976551;1654251.5
;BR;2015;p99.95p99.96;1818181.26848;2704214.9676;;;2501811.25;0.0063955244;0.0072863414;1654251.5
;BR;2015;p99.96p100;5895292.02195;10300040.8353;2.95173811913;3.51037979126;2934167.0;0.0829476894;0.1110113135;1997227.375
;BR;2015;p99.96p99.97;2208774.63296;3241497.66667;;;2934167.0;0.0077694519;0.0087340167;1997227.375
;BR;2015;p99.97p100;7124131.15279;12652888.5062;2.92313957214;3.51099562645;3603789.25;0.0751782375;0.1022772964;2437150.5
;BR;2015;p99.97p99.98;2697142.92949;4139585.08573;;;3603789.25;0.0094873067;0.0111538582;2437150.5
;BR;2015;p99.98p100;9337625.20108;16909540.1423;3.14313220978;3.51167416573;4815236.0;0.0656909303;0.0911234379;2970802.5
;BR;2015;p99.98p99.99;3308660.07797;6057155.71946;;;4815236.0;0.0116383424;0.0163206346;2970802.5
;BR;2015;p99.991p100;16636637.6913;29935054.3489;4.08900308609;3.51255249977;8522308.0;0.0526680267;0.0725923514;4068629.5
;BR;2015;p99.991p99.992;4239751.45532;8884146.82089;;;8522308.0;0.0014913493;0.0023937789;4068629.5
;BR;2015;p99.992p100;18186248.4819;32566417.7453;4.10138368607;3.51264476776;9271196.0;0.0511766774;0.0701985724;4434174.0
;BR;2015;p99.992p99.993;4685796.01748;9717950.08967;;;9271196.0;0.0016482472;0.0026184421;4434174.0
;BR;2015;p99.993p100;20114884.5525;35830484.6024;4.04523134232;3.51274037361;10200152.0;0.0495284302;0.0675801304;4972493.0
;BR;2015;p99.993p99.994;5347130.22313;10768363.803;;;10200152.0;0.0018808742;0.0029014696;4972493.0
;BR;2015;p99.994p100;22576176.9263;40007504.7809;3.90804338455;3.51283979416;11388935.0;0.047647556;0.0646786609;5776849.0
;BR;2015;p99.994p99.995;6348439.68851;12140720.1936;;;11388935.0;0.0022330887;0.0032712426;5776849.0
;BR;2015;p99.995p100;25821724.3254;45580861.6447;3.6828494072;3.5129442215;12975117.0;0.0454144672;0.0614074182;7011344.0
;BR;2015;p99.995p99.996;7918059.37697;14026152.9864;;;12975117.0;0.0027852086;0.0037792609;7011344.0
;BR;2015;p99.996p100;30297640.5839;53469538.7653;3.37106442451;3.5130546093;15220241.0;0.0426292586;0.0576281573;8987559.0
;BR;2015;p99.996p99.997;10514562.2162;16816140.2392;;;15220241.0;0.0036985388;0.0045310059;8987559.0
;BR;2015;p99.997p100;36891999.9305;65687338.4045;2.98390865326;3.51317358017;18697436.0;0.0389307197;0.0530971515;12363649.0
;BR;2015;p99.997p99.998;15194339.4553;21479702.8907;;;18697436.0;0.0053446689;0.0057875742;12363649.0
;BR;2015;p99.998p100;47740830.4693;87791156.4582;2.54234886169;3.51330423355;24988202.0;0.0335860511;0.0473095775;18778238.0
;BR;2015;p99.998p99.999;25048785.3864;31437205.6936;;;24988202.0;0.0088110091;0.0084705623;18778238.0
;BR;2015;p99.99p99.991;3936163.22886;8203757.76792;;;7903833.5;0.001384561;0.0022104522;3819716.0
;BR;2015;p99.9p99.91;900731.661122;1582965.03399;;;1525206.875;0.0031683592;0.0042652022;863725.125
;BR;2015;p99p99.1;243269.185402;307963.049944;;;296840.25;0.0085570896;0.0082978755;234918.046875
;BR;2014;p0p100;30366.1764531;39518.8828337;;;0.0;1.0;1.0;0.0
;BR;2014;p0p50;7789.40968105;9888.42776447;;;0.0;0.1282579928;0.1251101632;0.0
;BR;2014;p50p90;26100.8371172;32175.0136777;;;18911.921875;0.3438146012;0.3256672393;15230.8496094
;BR;2014;p90p99;99588.9661235;119973.422116;;;63419.7851562;0.2951664329;0.2732289433;52006.8945312
;BR;2014;p99p100;706806.058082;1090696.07984;2.77954864502;3.43262290955;317744.21875;0.2327609665;0.2759936485;254288.0625
;BR;2014;p99.9p100;3277577.68231;5580232.13369;3.59740519524;3.43769526482;1623248.0;0.1079351453;0.1412041974;911094.9375
;BR;2014;p99.99p100;16463604.5215;28563582.1466;3.11041212082;3.43868851662;8306533.5;0.0542169157;0.0722783138;5293062.0
;BR;2014;p99.999p100;78048528.0453;146222596.259;3.06991791725;3.43888258934;42520380.0;0.0257024549;0.0370006908;25423654.0
;BR;2014;p0p10;111.34288623;954.296505164;;;0.0;0.0003666675;0.0024147861;0.0
;BR;2014;p10p20;4923.29286184;6465.88170076;;;2976.12207031;0.0162130813;0.0163614992;1792.70837402
;BR;2014;p20p30;8996.26914637;11152.1726918;;;8871.34179688;0.0296259529;0.0282198582;7020.24560547
;BR;2014;p30p40;11254.0261924;13925.2227741;;;12890.9628906;0.0370610578;0.0352368837;10397.7080078
;BR;2014;p40p50;13662.1173184;16944.5651506;;;15124.0068359;0.0449912334;0.042877136;12118.7080078
;BR;2014;p50p60;17021.8747634;20970.2165692;;;18911.921875;0.0560553772;0.0530637889;15230.8496094
;BR;2014;p60p70;21202.2774824;26302.8036472;;;23353.3476562;0.069822019;0.0665575587;18856.9003906
;BR;2014;p70p80;27178.1155839;33626.0769964;;;29012.09375;0.0895012766;0.0850886325;23305.2089844
;BR;2014;p80p90;39001.0806394;47800.9574982;;;38717.640625;0.1284359284;0.1209572591;31312.6386719
;BR;2014;p90p100;160311.367328;217046.632549;3.08250212669;3.42238044739;63419.7851562;0.5279274068;0.5492225918;52006.8945312
;BR;2014;p0p1;5.9358101022;40.8405884855;;;0.0;1.9547e-06;1.03344e-05;0.0
;BR;2014;p1p2;17.8074296162;130.231237493;;;83.0965042114;5.8642e-06;3.29542e-05;11.8716201782
;BR;2014;p2p3;29.6790512016;240.451402624;;;180.835205078;9.7737e-06;6.08447e-05;23.7432403564
;BR;2014;p3p4;41.5506700252;383.957968948;;;305.61416626;1.36832e-05;9.71581e-05;35.6148605347
;BR;2014;p4p5;53.4222916105;573.275504319;;;469.937194824;1.75927e-05;0.0001450637;47.4864807129
;BR;2014;p5p6;65.2939076723;820.9095991;;;686.335327148;2.15022e-05;0.0002077259;59.3581008911
;BR;2014;p6p7;77.1655292577;1139.24133982;;;967.270996094;2.54117e-05;0.0002882777;71.2297210693
;BR;2014;p7p8;89.037150843;1540.40096512;;;1325.02294922;2.93212e-05;0.0003897886;83.1013412476
;BR;2014;p8p9;100.908772428;2036.11736848;;;1771.5480957;3.32306e-05;0.0005152264;94.9729614258
;BR;2014;p9p10;632.628249539;2637.53907725;;;2318.31713867;0.0002083332;0.0006674124;106.844581604
;BR;2014;p10p11;2148.95236904;3351.80185743;;;2976.12207031;0.0007076796;0.000848152;1792.70837402
;BR;2014;p11p12;2888.92639997;4150.64236172;;;3742.02026367;0.0009513632;0.0010502934;2514.22998047
;BR;2014;p12p13;3633.33608284;4975.12616965;;;4563.390625;0.0011965076;0.0012589238;3264.23388672
;BR;2014;p13p14;4339.51343326;5771.85499695;;;5382.05175781;0.0014290615;0.0014605309;3995.90673828
;BR;2014;p14p15;4974.36083442;6498.48995;;;6149.75146484;0.0016381255;0.0016444012;4671.03808594
;BR;2014;p15p16;5516.41605881;7126.1746637;;;6830.46777344;0.0018166318;0.0018032328;5261.98730469
;BR;2014;p16p17;5958.12674399;7642.22113376;;;7402.95654297;0.0019620932;0.0019338151;5753.84765625
;BR;2014;p17p18;6308.37833416;8053.10056901;;;7863.58349609;0.0020774358;0.0020377855;6146.84228516
;BR;2014;p18p19;6595.3249788;8387.79723133;;;8229.48339844;0.0021719313;0.0021224783;6458.99023438
;BR;2014;p19p20;6869.59338311;8701.60807404;;;8542.12207031;0.0022622517;0.0022018861;6729.11328125
;BR;2014;p20p21;7201.35080583;9073.284387;;;8871.34179688;0.002371504;0.0022959365;7020.24560547
;BR;2014;p21p22;7614.60756605;9533.19935426;;;9290.98144531;0.0025075951;0.002412315;7396.99658203
;BR;2014;p22p23;8073.58503606;10046.7095116;;;9784.28808594;0.0026587427;0.0025422554;7839.76660156
;BR;2014;p23p24;8540.76532473;10576.3273019;;;10311.734375;0.0028125916;0.0026762718;8308.67675781
;BR;2014;p24p25;8984.23577682;11089.447328;;;10838.0673828;0.0029586325;0.0028061136;8768.78515625
;BR;2014;p25p26;9379.14755032;11559.6731678;;;11333.5498047;0.0030886824;0.0029251012;9191.44921875
;BR;2014;p26p27;9709.38276406;11968.3438533;;;11775.3808594;0.0031974334;0.0030285127;9555.890625
;BR;2014;p27p28;9969.44789098;12306.2701393;;;12149.3261719;0.0032830765;0.0031140228;9850.96777344
;BR;2014;p28p29;10166.6393531;12575.7274841;;;12451.5742188;0.0033480143;0.0031822072;10077.1953125
;BR;2014;p29p30;10323.5293957;12792.7443903;;;12690.8681641;0.0033996804;0.003237122;10249.0644531
;BR;2014;p30p31;10477.5934888;12987.4695325;;;12890.9628906;0.0034504158;0.0032863959;10397.7080078
;BR;2014;p31p32;10648.857907;13181.3803679;;;13084.1582031;0.0035068155;0.0033354638;10560.8027344
;BR;2014;p32p33;10829.7434213;13377.4801704;;;13278.9619141;0.0035663836;0.0033850856;10738.4863281
;BR;2014;p33p34;11011.5933077;13577.1371595;;;13476.5849609;0.0036262693;0.0034356075;10921.1230469
;BR;2014;p34p35;11188.0613758;13782.0719609;;;13678.5625;0.0036843827;0.003487465;11101.1181641
;BR;2014;p35p36;11355.7072777;13994.4091333;;;13886.8066406;0.0037395908;0.0035411955;11273.4736328
;BR;2014;p36p37;11514.6985767;14216.7498578;;;14103.6689453;0.0037919488;0.0035974574;11436.4248047
;BR;2014;p37p38;11669.6315945;14452.246468;;;14332.0126953;0.0038429704;0.0036570483;11592.2060547
;BR;2014;p38p39;11830.5063885;14704.6861806;;;14575.2919922;0.0038959486;0.0037209266;11747.9384766
;BR;2014;p39p40;12013.8685856;14978.5969096;;;14837.6455078;0.0039563323;0.0037902379;11916.6904297
;BR;2014;p40p41;12241.9241958;15278.9141824;;;15124.0068359;0.0040314342;0.0038662313;12118.7080078
;BR;2014;p41p42;12520.4792481;15606.4964715;;;15438.4384766;0.0041231662;0.0039491239;12373.8876953
;BR;2014;p42p43;12834.6552631;15957.5409182;;;15778.4658203;0.0042266287;0.0040379534;12672.9853516
;BR;2014;p43p44;13168.8313932;16327.722035;;;16139.8046875;0.0043366775;0.0041316254;12999.6269531
